Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,192.520004,193.199997,188.949997,191.899994,164.698120,3009100
2019-01-03,192.149994,194.179993,188.669998,188.979996,162.192047,3973900
2019-01-04,191.460007,196.520004,190.839996,195.440002,167.736328,4193400
2019-01-07,194.759995,199.360001,194.000000,198.070007,169.993561,3032500
2019-01-08,199.199997,201.119995,196.679993,200.610001,172.173492,3290300
2019-01-09,202.360001,202.899994,199.630005,200.369995,171.967529,2869700
2019-01-10,200.369995,203.520004,199.470001,202.679993,173.950073,3131300
2019-01-11,200.639999,200.990005,198.000000,200.559998,172.130569,3379700
2019-01-14,199.490005,200.000000,196.660004,196.779999,168.886398,3378600
2019-01-15,196.300003,199.990005,196.039993,199.380005,171.117813,2859800
2019-01-16,199.300003,200.440002,197.600006,198.889999,170.697281,3302400
2019-01-17,198.380005,202.529999,197.979996,201.919998,173.297791,2440200
2019-01-18,203.330002,204.330002,201.039993,203.880005,174.979980,3095000
2019-01-22,202.619995,203.479996,200.779999,201.979996,173.349274,3173100
2019-01-23,201.990005,203.949997,200.130005,201.559998,172.988831,1917500
2019-01-24,201.610001,202.399994,199.740005,200.970001,172.482437,2390800
2019-01-25,201.949997,202.229996,196.880005,198.770004,170.594315,4383600
2019-01-28,194.970001,194.970001,190.009995,191.949997,164.741058,4186200
2019-01-29,192.179993,193.669998,190.800003,192.110001,164.878403,3182100
2019-01-30,188.889999,189.759995,179.649994,184.860001,158.656052,8089100
2019-01-31,184.779999,187.600006,183.910004,187.110001,160.587128,4397900
2019-02-01,186.509995,187.830002,185.559998,187.070007,160.552780,2488900
2019-02-04,186.960007,187.139999,184.289993,186.179993,159.788940,2930900
2019-02-05,186.199997,189.059998,185.720001,188.309998,161.617020,4933300
2019-02-06,188.309998,191.869995,188.110001,190.759995,163.719696,3322400
2019-02-07,190.669998,190.669998,182.669998,184.229996,158.115372,4188100
2019-02-08,183.410004,186.050003,183.410004,186.000000,159.634476,2601000
