Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,151.270004,151.809998,150.380005,151.589996,137.556732,2920700
2019-03-11,151.000000,153.229996,150.550003,153.190002,139.008652,2792800
2019-03-12,153.570007,154.369995,152.800003,153.500000,139.289963,1822000
2019-03-13,154.300003,155.440002,153.850006,155.039993,140.687347,2533900
2019-03-14,155.350006,155.630005,154.369995,155.250000,140.877914,2657600
2019-03-15,155.149994,156.009995,155.029999,155.350006,140.968658,5287300
2019-03-18,155.550003,157.089996,154.899994,156.929993,142.402420,2395900
2019-03-19,157.619995,158.160004,156.660004,157.240005,142.683716,2694600
2019-03-20,157.190002,157.679993,155.649994,156.289993,141.821655,2373700
2019-03-21,156.369995,158.910004,156.100006,158.449997,143.781708,1951900
2019-03-22,157.600006,157.830002,155.619995,155.830002,141.404221,2430900
2019-03-25,155.929993,157.229996,155.610001,155.929993,141.494949,2048500
2019-03-26,156.869995,157.869995,156.580002,157.479996,142.901505,2214400
2019-03-27,157.330002,158.289993,156.199997,157.110001,142.565735,2764700
2019-03-28,157.619995,158.669998,157.009995,158.539993,143.863373,2179200
2019-03-29,159.190002,159.490005,157.979996,158.919998,144.208191,2704700
2019-04-01,160.000000,161.770004,159.759995,161.470001,146.522141,2393600
2019-04-02,161.320007,161.550003,159.860001,161.039993,146.131927,3332700
2019-04-03,161.630005,161.949997,160.160004,160.289993,145.451370,3815200
2019-04-04,160.259995,161.350006,159.789993,161.070007,146.159164,1967300
2019-04-05,161.619995,162.179993,161.179993,161.699997,146.730865,1745000
2019-04-08,161.199997,162.100006,160.550003,162.059998,147.057495,1854000
2019-04-09,161.179993,161.529999,160.550003,160.850006,145.959518,1932500
2019-04-10,160.800003,160.800003,159.210007,159.970001,145.160995,2381000
2019-04-11,160.179993,161.050003,159.679993,160.899994,146.004913,1756200
2019-04-12,161.910004,162.630005,161.399994,162.470001,147.429565,2118900
2019-04-15,162.750000,162.869995,161.789993,162.000000,147.003082,2392800
2019-04-16,162.580002,162.919998,162.130005,162.860001,147.783478,3007100
2019-04-17,163.309998,164.649994,162.660004,162.889999,147.810684,3416400
2019-04-18,167.520004,169.860001,165.889999,169.059998,153.409485,6376900
2019-04-22,168.250000,169.419998,167.500000,168.240005,152.665390,3264700
2019-04-23,168.250000,172.000000,168.009995,171.809998,155.904907,4169400
2019-04-24,171.770004,172.110001,171.050003,171.289993,155.433060,3825200
2019-04-25,170.699997,170.949997,168.619995,170.419998,154.643555,3340300
2019-04-26,170.160004,172.289993,170.000000,172.250000,156.304199,2703300
2019-04-29,171.899994,173.119995,171.770004,172.550003,156.576416,2943100
2019-04-30,173.009995,174.009995,172.479996,173.630005,157.556427,3651700
2019-05-01,173.759995,174.339996,170.830002,170.940002,155.115448,3762200
2019-05-02,170.410004,171.539993,169.559998,171.380005,155.514709,4421600
2019-05-03,171.580002,173.639999,171.399994,173.539993,157.474777,4128600
2019-05-06,170.490005,173.500000,170.259995,172.610001,156.630844,3001700
2019-05-07,170.690002,171.770004,168.880005,169.850006,154.126404,4683900
2019-05-08,169.750000,171.440002,169.500000,170.360001,154.589127,2899600
2019-05-09,169.220001,170.500000,168.179993,170.389999,154.616364,2959600
2019-05-10,169.759995,172.100006,168.020004,171.630005,155.741592,2342300
2019-05-13,168.479996,168.899994,165.309998,166.820007,151.376892,3704800
2019-05-14,166.929993,169.279999,166.800003,168.160004,152.592804,2620700
2019-05-15,167.000000,170.000000,166.529999,169.380005,153.699890,1869400
2019-05-16,169.860001,172.050003,169.779999,170.789993,154.979355,3032800
2019-05-17,169.270004,171.210007,168.850006,169.949997,154.217087,2095000
2019-05-20,169.389999,169.960007,168.009995,168.619995,153.010223,2061700
2019-05-21,169.850006,170.570007,169.059998,169.600006,153.899536,2536400
2019-05-22,169.470001,170.490005,169.000000,169.309998,153.636368,2251500
2019-05-23,166.960007,167.279999,165.330002,166.440002,151.767136,2716300
2019-05-24,167.750000,167.860001,166.539993,166.679993,151.985916,2035500
2019-05-28,166.860001,167.619995,164.940002,165.259995,150.691116,3877400
2019-05-29,163.720001,165.130005,162.679993,164.369995,149.879562,2527900
2019-05-30,164.660004,165.740005,164.589996,165.449997,150.864365,1951600
2019-05-31,163.740005,165.220001,163.649994,164.309998,149.824844,1895500
2019-06-03,164.479996,166.970001,164.320007,166.470001,151.794434,2384800
2019-06-04,168.050003,168.800003,166.940002,168.149994,153.326324,2700200
2019-06-05,169.169998,169.679993,168.220001,169.410004,154.475235,2707400
2019-06-06,169.470001,170.679993,168.919998,170.259995,155.250305,2229200
2019-06-07,171.059998,173.240005,170.929993,172.259995,157.073990,2027800
2019-06-10,173.490005,173.970001,171.199997,171.279999,156.180374,3015800
2019-06-11,172.490005,173.410004,170.389999,171.649994,156.517776,1726700
2019-06-12,171.860001,173.169998,171.440002,172.899994,157.657562,1570800
2019-06-13,173.570007,173.589996,172.330002,173.190002,157.922012,1400700
2019-06-14,172.940002,173.509995,171.100006,172.809998,157.575546,1627600
2019-06-17,173.380005,173.500000,172.020004,172.360001,157.165207,1646400
2019-06-18,173.559998,176.429993,173.139999,175.750000,160.256348,2883700
2019-06-19,175.639999,176.149994,174.250000,175.410004,159.946320,2187000
2019-06-20,176.419998,177.360001,175.130005,176.289993,160.748718,4234300
2019-06-21,176.880005,176.889999,173.559998,174.309998,158.943283,3813800
2019-06-24,174.289993,175.509995,174.210007,174.610001,159.216858,1795600
2019-06-25,175.020004,175.410004,173.630005,173.940002,158.605881,1843700
2019-06-26,174.550003,174.789993,173.539993,173.589996,158.286743,1815800
2019-06-27,174.080002,174.619995,173.210007,173.839996,158.514694,1811600
2019-06-28,174.190002,175.380005,174.000000,174.589996,159.198578,3551300
2019-07-01,176.630005,176.990005,175.660004,176.809998,161.222870,1613600
2019-07-02,176.990005,177.479996,176.149994,176.619995,161.049652,1407000
2019-07-03,176.770004,178.470001,176.210007,178.399994,162.672699,1240000
2019-07-05,177.210007,177.449997,174.669998,176.589996,161.022278,1208800
2019-07-08,176.300003,176.309998,174.800003,175.669998,160.183380,1573900
2019-07-09,175.000000,175.759995,174.589996,175.520004,160.046600,1595900
2019-07-10,176.119995,176.940002,174.369995,174.460007,159.080078,1865600
