Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,44.796734,49.120277,44.496487,48.339638,47.404739,21541338
2019-01-03,48.159492,49.240376,46.718307,48.399689,47.463627,20474697
2019-01-04,49.180328,49.600674,47.919292,49.420525,48.464722,19997555
2019-01-07,51.342102,52.783283,49.780819,52.483036,51.468002,29922843
2019-01-08,53.503872,54.284512,51.161953,51.402149,50.408031,24476646
2019-01-09,51.161953,52.603134,49.120277,51.041855,50.054691,19368488
2019-01-10,51.041855,53.744068,50.981804,53.684021,52.645752,18708230
2019-01-11,53.263676,53.744068,52.362938,53.684021,52.645752,13433859
2019-01-14,52.903381,54.044315,52.603134,53.443825,52.410217,13601854
2019-01-15,53.503872,53.623974,52.242840,52.422989,51.409134,15663512
2019-01-16,52.302887,54.044315,52.002644,53.924217,52.881317,14032767
2019-01-17,53.443825,55.185253,52.543083,54.885006,53.823524,17617575
2019-01-18,55.425449,55.545547,54.224464,54.404613,53.352421,15443076
2019-01-22,53.924217,53.984268,51.402149,52.002644,50.996902,18013883
2019-01-23,52.182789,53.083527,51.702396,52.422989,51.409134,12054424
2019-01-24,51.822495,53.864170,51.702396,52.723232,51.703556,15042921
2019-01-25,53.143578,55.305351,53.083527,55.005104,53.941299,18702418
2019-01-28,53.924217,54.044315,52.543083,53.623974,52.586876,15260126
2019-01-29,53.443825,54.824955,51.942593,53.443825,52.410217,19062306
2019-01-30,53.924217,55.725697,53.323727,54.644810,53.587963,14393954
2019-01-31,59.688946,64.673035,58.608059,61.010029,59.830086,58058936
2019-02-01,61.250225,62.631359,59.809044,61.190174,60.006752,26338685
2019-02-04,61.670570,62.090916,60.649734,61.310272,60.124523,17193207
2019-02-05,61.550472,63.952442,61.070076,63.832344,62.597813,17123131
2019-02-06,64.072540,65.513718,62.631359,62.871555,61.655613,20064617
2019-02-07,62.571308,62.691406,59.869095,60.409534,59.241207,18102510
2019-02-08,60.109291,60.649734,57.286976,58.908306,57.769012,19742048
2019-02-11,59.268600,60.949978,59.028404,60.229389,59.064548,11771589
2019-02-12,60.469585,60.949978,59.508797,59.929142,58.770111,11177877
2019-02-13,59.929142,62.571308,59.748993,62.271061,61.066730,16475979
2019-02-14,61.790668,61.850719,59.748993,60.289436,59.123432,15551754
2019-02-15,60.769833,61.730618,60.409534,60.589684,59.417870,13046710
2019-02-19,60.229389,60.949978,59.748993,60.829880,59.653419,10586046
2019-02-20,60.589684,60.829880,60.109291,60.649734,59.476757,8101451
2019-02-21,60.229389,61.250225,60.049240,60.229389,59.064548,8248764
2019-02-22,60.349487,61.130127,59.989189,61.070076,59.888969,8449949
2019-02-25,69.476974,70.557854,64.733078,64.973274,63.716690,48332402
2019-02-26,67.384857,68.071815,65.761124,66.572990,65.285454,16651495
2019-02-27,67.634659,68.259171,66.448090,67.946915,66.632805,17426948
2019-02-28,67.572212,67.759560,64.512100,64.886810,63.631889,14549294
2019-03-01,65.261513,65.698669,62.763466,64.137390,62.896957,14251157
2019-03-04,64.449646,65.698669,63.825138,64.824356,63.570637,11170784
2019-03-05,64.824356,66.010925,59.828259,61.764248,60.569721,28627724
2019-03-06,57.829819,60.202965,56.518345,56.893051,55.792732,32950154
2019-03-07,56.705700,59.016392,56.643246,59.016392,57.875011,20412911
2019-03-08,58.266979,60.452770,57.954723,59.828259,58.733326,14013932
2019-03-11,59.016392,62.576111,58.266979,61.826698,60.695187,16981320
2019-03-12,62.014053,63.325527,60.327869,60.952381,59.836876,15911541
2019-03-13,60.765026,62.763466,60.577675,62.576111,61.430885,11875591
2019-03-14,64.324745,65.573769,63.700233,64.324745,63.147518,21436062
2019-03-15,64.262299,65.261513,61.826698,62.201405,61.063030,30294705
2019-03-18,62.388760,64.387199,62.263855,63.700233,62.534431,14675056
2019-03-19,63.825138,64.574554,63.325527,63.637783,62.473133,8755779
2019-03-20,63.263077,64.512100,63.200626,63.825138,62.657055,7745246
2019-03-21,63.700233,64.512100,63.263077,64.137390,62.963589,8089339
2019-03-22,63.825138,63.950039,61.951599,62.326309,61.185658,13060355
2019-03-25,62.201405,63.263077,61.264637,61.701794,60.572578,7962648
2019-03-26,62.138954,63.387978,62.014053,63.075722,61.921356,7625921
2019-03-27,62.950821,63.575333,61.826698,62.201405,61.063030,8830622
2019-03-28,62.201405,62.513660,61.202187,61.764248,60.633884,7237554
2019-03-29,62.326309,62.638565,61.951599,62.388760,61.246960,7769121
2019-04-01,62.576111,63.263077,62.451210,63.075722,61.921356,8221778
2019-04-02,62.825916,64.199844,62.701015,63.950039,62.779671,8286181
2019-04-03,64.074944,64.199844,62.451210,63.075722,61.921356,8989337
2019-04-04,63.075722,63.200626,62.263855,62.638565,61.492195,6570585
2019-04-05,62.888367,63.325527,62.326309,62.513660,61.369576,6926559
2019-04-08,59.391102,59.578453,57.142857,59.266197,58.181549,28183313
2019-04-09,58.391880,58.766590,56.955505,57.580017,56.526226,13317708
2019-04-10,57.767368,57.829819,56.705700,57.205307,56.158379,8626158
2019-04-11,56.955505,57.829819,56.830601,56.955505,55.913151,8777220
2019-04-12,57.142857,57.517563,56.143639,56.206089,55.177456,10962350
2019-04-15,56.268539,56.518345,54.894615,56.081188,55.054829,13281840
2019-04-16,56.455894,57.392662,56.143639,57.080406,56.035759,9645290
2019-04-17,57.205307,57.330212,56.580795,56.955505,55.913151,7696424
2019-04-18,57.017956,58.391880,56.830601,58.391880,57.323238,8247895
2019-04-22,57.767368,58.391880,57.330212,58.204529,57.139320,10747990
2019-04-23,58.079624,58.516785,57.580017,58.266979,57.200623,6485799
2019-04-24,58.142078,58.391880,57.517563,58.204529,57.139320,4609214
2019-04-25,57.580017,57.642467,56.081188,56.955505,55.913151,9988277
2019-04-26,56.955505,59.890709,56.893051,59.765808,58.672016,11895638
2019-04-29,59.765808,60.827480,59.578453,60.765026,59.652943,10569771
2019-04-30,63.887589,65.761124,62.201405,63.512882,62.350513,28371828
2019-05-01,63.387978,65.074158,63.013271,63.075722,61.921356,15912326
2019-05-02,63.387978,64.949257,62.950821,64.012489,62.840977,12686031
2019-05-03,64.324745,65.573769,63.950039,65.573769,64.373672,11019082
2019-05-06,63.950039,65.511322,63.762684,65.136612,63.944523,6986542
2019-05-07,64.574554,64.699455,62.825916,63.138172,61.982662,9110184
2019-05-08,62.950821,64.012489,62.950821,63.450428,62.289204,7581807
2019-05-09,63.138172,63.762684,62.576111,62.701015,61.553505,9527405
2019-05-10,62.576111,63.575333,61.014832,63.263077,62.105286,10108723
2019-05-13,61.514442,62.888367,61.327087,61.639343,60.511257,9629277
2019-05-14,62.076504,64.637001,61.889149,64.449646,63.270130,11292095
2019-05-15,63.387978,64.886810,63.200626,64.074944,62.902275,8601339
2019-05-16,63.825138,64.262299,62.825916,63.263077,62.105286,8727693
2019-05-17,62.513660,63.450428,62.326309,62.451210,61.308270,5934633
2019-05-20,61.889149,62.825916,61.077282,61.701794,60.572578,8359662
2019-05-21,62.201405,62.201405,61.202187,62.201405,61.063030,9673696
2019-05-22,62.138954,63.200626,61.701794,61.826698,60.695187,8269512
2019-05-23,61.264637,61.389538,59.141296,59.703358,58.610710,9101745
2019-05-24,60.078064,60.452770,58.953941,59.016392,57.936317,7611238
2019-05-28,58.766590,59.578453,57.892273,58.454334,57.384548,11562898
2019-05-29,58.142078,58.641685,57.142857,58.516785,57.445850,7139654
2019-05-30,58.516785,59.391102,58.017174,59.141296,58.058933,8091340
2019-05-31,58.329430,59.141296,58.079624,58.953941,57.875008,7419856
2019-06-03,58.079624,59.578453,57.767368,59.516003,58.426781,7569749
2019-06-04,60.015614,62.451210,59.890709,62.451210,61.308270,9832428
2019-06-05,62.888367,63.013271,61.327087,61.764248,60.633884,6591289
2019-06-06,61.764248,62.451210,61.014832,61.951599,60.817810,6169296
2019-06-07,61.826698,62.763466,61.327087,62.326309,61.185658,6578672
2019-06-10,62.763466,64.637001,62.451210,62.763466,61.614815,8369269
2019-06-11,63.075722,63.700233,62.201405,63.200626,62.043972,6238102
2019-06-12,62.950821,64.886810,62.576111,64.199844,63.024899,8802087
2019-06-13,64.699455,65.698669,64.012489,64.387199,63.208820,9946276
2019-06-14,64.199844,64.574554,63.575333,63.887589,62.718369,5501110
2019-06-17,63.700233,63.950039,62.576111,62.763466,61.614815,7373804
2019-06-18,63.138172,65.136612,63.013271,65.074158,63.883213,11779371
2019-06-19,65.386414,66.260735,64.512100,64.574554,63.392754,9706249
2019-06-20,65.386414,66.822792,65.386414,66.385635,65.170692,10562085
2019-06-21,66.635445,66.885246,65.261513,65.448868,64.251068,10500357
2019-06-24,65.323967,65.761124,64.137390,64.199844,63.024899,5860383
2019-06-25,64.074944,64.199844,63.075722,63.825138,62.657055,5683829
2019-06-26,63.825138,64.886810,63.700233,64.137390,62.963589,5464746
2019-06-27,63.950039,65.199066,63.950039,64.949257,63.760609,5329488
2019-06-28,64.886810,65.573769,64.761902,65.573769,64.435638,7048767
2019-07-01,66.323189,66.947701,65.761124,66.385635,65.233414,6393071
2019-07-02,66.385635,66.947701,66.010925,66.323189,65.172066,4823237
2019-07-03,66.572990,66.572990,65.823578,66.260735,65.110680,3550868
2019-07-05,65.823578,65.886024,64.761902,65.573769,64.435638,4846615
2019-07-08,65.074158,65.136612,63.325527,63.700233,62.594616,7708914
2019-07-09,63.200626,64.262299,62.701015,64.012489,62.901466,5677360
2019-07-10,64.262299,65.136612,63.575333,63.700233,62.594616,6261160
2019-07-11,63.825138,64.387199,63.075722,63.138172,62.042320,5391425
2019-07-12,63.575333,64.886810,63.325527,64.761902,63.637871,6276179
2019-07-15,64.012489,64.574554,63.700233,64.137390,63.024193,6740478
2019-07-16,63.887589,64.949257,63.762684,64.824356,63.699234,6330254
2019-07-17,64.761902,64.761902,62.326309,62.326309,61.244545,8595990
2019-07-18,62.513660,63.637783,62.201405,62.825916,61.735477,7230476
2019-07-19,62.950821,63.637783,62.638565,62.701015,61.612751,5548956
2019-07-22,62.763466,63.887589,62.763466,63.762684,62.655987,6937720
2019-07-23,64.199844,66.697891,64.137390,66.510536,65.356140,11897015
2019-07-24,66.073380,66.822792,65.823578,66.697891,65.540253,7189212
2019-07-25,66.385635,66.635445,64.699455,65.136612,64.006081,7385125
2019-07-26,65.386414,65.886024,64.949257,65.636223,64.497002,4325905
2019-07-29,65.573769,66.073380,64.824356,64.824356,63.699234,5983775
2019-07-30,64.886810,66.073380,64.199844,65.698669,64.558380,7255984
2019-07-31,67.197502,67.384857,62.763466,65.261513,64.128815,27617415
2019-08-01,64.761902,65.511322,62.326309,62.950821,61.858223,14078462
2019-08-02,62.513660,62.950821,61.327087,62.451210,61.367275,10295461
2019-08-05,61.139736,61.264637,60.015614,60.327869,59.280796,11247692
2019-08-06,60.640125,60.889931,59.203747,59.765808,58.728485,10631948
2019-08-07,58.953941,59.141296,57.642467,59.078846,58.053452,12296063
2019-08-08,59.391102,59.516003,58.204529,59.266197,58.237553,7911232
2019-08-09,59.141296,59.203747,56.955505,57.142857,56.151051,12284918
2019-08-12,56.455894,56.768150,55.893833,56.518345,55.537392,10500181
2019-08-13,57.642467,59.890709,57.517563,58.391880,57.378407,11853477
2019-08-14,57.704918,58.079624,55.956284,56.393444,55.414646,14282285
2019-08-15,53.333332,53.895393,47.775177,50.023418,49.155193,64217923
2019-08-16,52.521469,54.957066,52.271664,54.894615,53.941837,39852486
2019-08-19,55.456673,55.519127,53.770493,54.145199,53.205437,17875971
2019-08-20,53.583138,53.708042,52.021858,52.334114,51.425785,16381156
2019-08-21,52.209213,52.958626,50.835285,50.960186,50.075703,13652017
2019-08-22,51.085091,51.896957,50.647930,51.147541,50.259800,10911974
2019-08-23,50.523029,50.585480,48.462139,49.773613,48.909718,20591803
2019-08-26,50.335674,50.585480,49.461357,50.273224,49.400669,9285200
2019-08-27,50.523029,50.647930,49.398907,49.523811,48.664242,10579395
2019-08-28,49.461357,49.898518,48.462139,49.586262,48.725620,9238940
2019-08-29,50.210773,51.209991,49.960968,50.647930,49.768856,9405903
2019-08-30,50.835285,51.584698,50.647930,51.522247,50.628014,7577691
2019-09-03,50.585480,52.396564,50.460579,52.021858,51.118942,10832280
2019-09-04,52.521469,55.394222,52.459015,54.957066,54.003208,14996299
2019-09-05,56.143639,57.642467,54.957066,55.019516,54.064579,13913437
2019-09-06,55.081966,55.081966,53.520687,54.395004,53.450893,6860748
2019-09-09,54.644810,56.518345,54.519905,55.956284,54.985085,7999925
2019-09-10,55.644028,57.892273,55.581577,57.080406,56.089695,10026579
